match_id,group_letter,match_date_utc,venue,home_team,away_team,home_team_model_name,away_team_model_name,home_team_was_resolved,away_team_was_resolved,home_historical_matches,away_historical_matches,home_last_10_points_per_match,away_last_10_points_per_match,last_10_points_per_match_diff,home_last_10_goal_diff_per_match,away_last_10_goal_diff_per_match,last_10_goal_diff_per_match_diff,home_fifa_rank,away_fifa_rank,fifa_rank_diff,home_fifa_points,away_fifa_points,fifa_points_diff,home_squad_status,away_squad_status,home_squad_players,away_squad_players,home_overall_star_power_z,away_overall_star_power_z,overall_star_power_diff,home_attack_vs_away_defense_diff,away_attack_vs_home_defense_diff,home_international_event_matches,away_international_event_matches,home_matched_club_players,away_matched_club_players,expected_total_corners,expected_total_yellow_cards,expected_total_red_cards,has_complete_strength_features,has_complete_squad_features,has_complete_event_features,has_complete_fifa_rankings
16,G,2026-06-16 01:00:00,"SoFi Stadium, Los Angeles",Iran,New Zealand,Iran,New Zealand,False,False,610,414,1.5,0.7,0.8,0.9,-0.6,1.5,21,85,-64,1615.3,1281.57,333.73,preliminary_or_reduced,final_or_near_final,30.0,26.0,1.169,-0.263,1.432,1.192,-1.745,19,5,0.0,1.0,8.727,2.727,0.159,True,True,True,True
19,I,2026-06-16 22:00:00,"Gillette Stadium, Boston",Iraq,Norway,Iraq,Norway,True,False,652,870,2.0,2.3,-0.2999999999999998,0.4,2.5,-2.1,57,31,26,1447.14,1550.94,-103.79999999999995,preliminary_or_reduced,final_or_near_final,34.0,26.0,0.023,-0.051,0.074,0.0,-0.531,16,8,0.0,15.0,8.5,3.25,0.236,True,True,True,True
57,F,2026-06-25 23:00:00,"AT&T Stadium, Dallas",Japan,Sweden,Japan,Sweden,False,True,789,1099,2.0,1.4,0.6000000000000001,1.1,-0.2,1.3,18,38,-20,1660.43,1514.77,145.66000000000008,final_or_near_final,final_or_near_final,26.0,26.0,-0.131,-1.845,1.714,1.395,-1.0819999999999999,29,13,12.0,15.0,9.632,3.066,0.174,True,True,True,True
65,G,2026-06-27 03:00:00,"Lumen Field, Seattle",Egypt,Iran,Egypt,Iran,False,False,754,610,1.8,1.5,0.30000000000000004,0.5,0.9,-0.4,29,21,8,1563.24,1615.3,-52.059999999999945,preliminary_or_reduced,preliminary_or_reduced,27.0,30.0,0.201,1.169,-0.968,-1.2400000000000002,0.46299999999999997,13,19,3.0,0.0,7.965,2.649,0.245,True,True,True,True
46,L,2026-06-23 20:00:00,"Gillette Stadium, Boston",England,Ghana,England,Ghana,False,False,1088,669,2.2,1.3,0.9000000000000001,1.7,0.2,1.5,4,74,-70,1825.97,1346.31,479.6600000000001,final_or_near_final,preliminary_or_reduced,26.0,28.0,0.382,-1.399,1.7810000000000001,2.399,-0.544,27,21,24.0,13.0,8.787,3.289,0.078,True,True,True,True
49,B,2026-06-24 19:00:00,"BC Place, Vancouver",Switzerland,Canada,Switzerland,Canada,False,False,882,467,2.1,1.7,0.40000000000000013,1.7,0.7,1.0,19,30,-11,1649.4,1556.48,92.92000000000007,final_or_near_final,preliminary_or_reduced,26.0,32.0,0.369,0.336,0.032999999999999974,0.043,0.479,21,3,23.0,8.0,8.447,3.742,0.068,True,True,True,True
24,K,2026-06-18 02:00:00,"Estadio Azteca, Mexico City",Uzbekistan,Colombia,Uzbekistan,Colombia,False,False,352,636,1.7,1.8,-0.10000000000000009,0.8,1.1,-0.30000000000000004,50,13,37,1465.34,1693.09,-227.75,preliminary_or_reduced,final_or_near_final,30.0,26.0,0.198,0.52,-0.322,-1.298,0.43300000000000005,10,27,1.0,8.0,7.83,3.151,0.33,True,True,True,True
62,I,2026-06-26 19:00:00,"BMO Field, Toronto",Senegal,Iraq,Senegal,Iraq,False,True,636,652,2.5,2.0,0.5,1.9,0.4,1.5,14,57,-43,1688.99,1447.14,241.8499999999999,preliminary_or_reduced,preliminary_or_reduced,28.0,34.0,0.475,0.023,0.45199999999999996,-0.41500000000000004,-0.241,17,16,20.0,0.0,8.661,3.63,0.238,True,True,True,True
70,K,2026-06-27 23:30:00,"Mercedes-Benz Stadium, Atlanta",Congo DR,Uzbekistan,DR Congo,Uzbekistan,True,False,522,352,2.3,1.7,0.5999999999999999,0.9,0.8,0.09999999999999998,46,50,-4,1478.35,1465.34,13.009999999999991,final_or_near_final,preliminary_or_reduced,26.0,30.0,-0.876,0.198,-1.074,-0.17699999999999994,1.6420000000000001,13,10,10.0,1.0,8.327,2.801,0.24,True,True,True,True
66,G,2026-06-27 03:00:00,"BC Place, Vancouver",New Zealand,Belgium,New Zealand,Belgium,False,False,414,851,0.7,2.2,-1.5000000000000002,-0.6,2.5,-3.1,85,9,76,1281.57,1734.71,-453.1400000000001,final_or_near_final,final_or_near_final,26.0,26.0,-0.263,1.377,-1.6400000000000001,-0.459,2.257,5,23,1.0,21.0,10.78,3.056,0.049,True,True,True,True
55,E,2026-06-25 20:00:00,"Lincoln Financial Field, Philadelphia",Curaçao,Côte d'Ivoire,Curaçao,Ivory Coast,False,False,383,635,1.3,2.2,-0.9000000000000001,0.3,1.3,-1.0,82,34,48,1294.65,1532.98,-238.32999999999993,final_or_near_final,final_or_near_final,26.0,26.0,-1.312,-0.997,-0.31500000000000006,0.20600000000000018,0.14500000000000002,10,16,0.0,13.0,8.857,2.624,0.081,True,True,True,True
38,G,2026-06-21 19:00:00,"SoFi Stadium, Los Angeles",Belgium,Iran,Belgium,Iran,False,False,851,610,2.2,1.5,0.7000000000000002,2.5,0.9,1.6,9,21,-12,1734.71,1615.3,119.41000000000008,final_or_near_final,preliminary_or_reduced,26.0,30.0,1.377,1.169,0.20799999999999996,-0.04800000000000004,0.173,23,19,21.0,0.0,9.506,3.146,0.208,True,True,True,True
12,F,2026-06-15 02:00:00,"Estadio BBVA, Monterrey",Sweden,Tunisia,Sweden,Tunisia,True,False,1099,676,1.4,1.4,0.0,-0.2,0.4,-0.6000000000000001,38,44,-6,1514.77,1483.05,31.720000000000027,final_or_near_final,final_or_near_final,26.0,26.0,-1.845,-2.435,0.5900000000000001,-0.05599999999999983,-1.3110000000000002,13,16,15.0,7.0,9.54,3.887,0.222,True,True,True,True
10,F,2026-06-14 20:00:00,"AT&T Stadium, Dallas",Netherlands,Japan,Netherlands,Japan,False,False,877,789,2.4,2.0,0.3999999999999999,2.4,1.1,1.2999999999999998,7,18,-11,1757.87,1660.43,97.43999999999983,final_or_near_final,final_or_near_final,26.0,26.0,0.223,-0.131,0.354,0.8310000000000001,0.318,27,29,23.0,12.0,8.894,3.264,0.071,True,True,True,True
37,H,2026-06-21 16:00:00,"Mercedes-Benz Stadium, Atlanta",Spain,Saudi Arabia,Spain,Saudi Arabia,False,False,781,738,2.4,1.3,1.0999999999999999,2.3,-0.4,2.6999999999999997,2,61,-59,1876.4,1421.43,454.97,final_or_near_final,preliminary_or_reduced,26.0,30.0,-0.449,-0.069,-0.38,-0.058000000000000024,0.839,24,20,24.0,1.0,8.775,3.516,0.15,True,True,True,True
